NAME    DB      $00,$00,$00,$00,$01,$09,$09,$11,$0D,$10,$10,$0E,$09,$09,$09,$11
        DB      $12,$09,$09,$09,$09,$09,$09,$11,$12,$09,$09,$04,$00,$00,$00,$00
        DB      $00,$50,$00,$00,$02,$00,$00,$00,$69,$00,$00,$00,$00,$00,$00,$00
        DB      $69,$00,$00,$00,$00,$00,$00,$00,$69,$00,$00,$05,$00,$00,$00,$00
        DB      $00,$4C,$30,$00,$02,$00,$3B,$3B,$69,$3B,$3B,$3B,$3B,$3B,$3B,$3B
        DB      $69,$3B,$3B,$3B,$3B,$3B,$3B,$3B,$69,$3B,$3B,$05,$00,$00,$30,$00
        DB      $00,$41,$30,$00,$02,$00,$3B,$25,$07,$0B,$0B,$0B,$0C,$00,$3B,$23
        DB      $2B,$00,$3B,$14,$0C,$00,$3B,$23,$2D,$00,$3B,$05,$00,$00,$30,$00
        DB      $00,$59,$30,$00,$02,$00,$3B,$26,$12,$09,$09,$11,$2C,$69,$69,$24
        DB      $2C,$69,$69,$24,$2C,$69,$69,$24,$2E,$00,$3B,$05,$00,$48,$30,$00
        DB      $00,$45,$30,$00,$02,$00,$3B,$00,$69,$00,$00,$00,$69,$00,$3B,$00
        DB      $69,$00,$3B,$00,$69,$00,$3B,$00,$69,$00,$3B,$05,$00,$49,$30,$00
        DB      $00,$52,$30,$00,$02,$00,$3B,$3B,$69,$3B,$3B,$3B,$69,$3B,$3B,$3B
        DB      $69,$3B,$3B,$3B,$69,$3B,$3B,$3B,$69,$3B,$3B,$05,$00,$00,$30,$00
        DB      $00,$31,$30,$00,$07,$00,$3B,$23,$2F,$00,$3B,$27,$2B,$00,$00,$23
        DB      $2B,$00,$00,$23,$2B,$00,$3B,$23,$07,$0B,$0B,$13,$00,$00,$30,$00
        DB      $19,$09,$09,$09,$0A,$69,$69,$24,$5C,$69,$69,$5E,$12,$69,$69,$15
        DB      $0A,$69,$69,$11,$12,$69,$69,$24,$12,$09,$09,$09,$09,$09,$09,$1B
        DB      $68,$00,$00,$00,$00,$00,$3B,$00,$00,$00,$3B,$05,$02,$00,$00,$00
        DB      $00,$00,$00,$05,$02,$00,$3B,$00,$69,$00,$00,$00,$00,$00,$00,$67
        DB      $68,$00,$00,$00,$00,$00,$3B,$3B,$00,$3B,$3B,$05,$02,$00,$00,$00
        DB      $00,$00,$00,$05,$02,$00,$3B,$3B,$69,$3B,$3B,$00,$00,$00,$00,$67
        DB      $1A,$0B,$0B,$0B,$0C,$00,$3B,$23,$2B,$00,$3B,$13,$5F,$00,$00,$61
        DB      $62,$00,$00,$5B,$07,$00,$3B,$23,$2B,$00,$3B,$14,$0B,$0B,$0B,$1C
        DB      $19,$09,$18,$20,$0A,$69,$69,$24,$2C,$69,$69,$24,$5C,$69,$69,$5D
        DB      $5C,$69,$69,$5D,$2C,$69,$69,$24,$2C,$69,$69,$15,$09,$18,$20,$1B
        DB      $00,$00,$1D,$1E,$00,$00,$3B,$00,$69,$00,$3B,$00,$00,$00,$00,$00
        DB      $69,$00,$00,$00,$69,$00,$3B,$00,$69,$00,$3B,$00,$00,$1D,$1E,$00
        DB      $00,$00,$1D,$1E,$00,$00,$3B,$3B,$69,$3B,$3B,$3B,$00,$3B,$3B,$00
        DB      $69,$00,$3B,$3B,$69,$3B,$3B,$3B,$69,$3B,$3B,$00,$00,$1D,$1E,$00
        DB      $1A,$0B,$21,$22,$0C,$00,$3B,$23,$2B,$00,$3B,$23,$2B,$00,$3B,$14
        DB      $2F,$00,$3B,$27,$2B,$00,$3B,$23,$2B,$00,$3B,$14,$0B,$21,$22,$1C
        DB      $00,$00,$00,$00,$12,$69,$69,$11,$12,$69,$69,$24,$2C,$69,$69,$11
        DB      $60,$69,$69,$5D,$2C,$69,$69,$11,$12,$69,$69,$11,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$02,$00,$3B,$05,$02,$00,$3B,$00,$00,$00,$3B,$05
        DB      $02,$00,$3B,$00,$69,$00,$3B,$05,$02,$00,$3B,$05,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$02,$00,$3B,$05,$02,$00,$3B,$3B,$00,$3B,$3B,$05
        DB      $02,$00,$3B,$3B,$69,$3B,$3B,$05,$02,$00,$3B,$05,$00,$00,$00,$00
        DB      $63,$2A,$30,$35,$02,$00,$3B,$05,$07,$00,$3B,$23,$2B,$00,$3B,$13
        DB      $07,$00,$3B,$23,$2B,$00,$3B,$13,$02,$00,$3B,$05,$63,$2A,$30,$35
